罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,20240310,23,４階建て以上共同住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町４丁目,20240429,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町５丁目,20240517,17,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町５丁目,20241130,15,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,20240429,17,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町１丁目,20240525,15,その他,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町２丁目,20231210,22,その他,その他,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町２丁目,20240624,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本庄町３丁目,20240913,23,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山北町１丁目,20240828,7,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山北町１丁目,20241004,18,４階建て以上共同住宅,その他,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町１丁目,20240416,12,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町２丁目,20231217,9,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町２丁目,20240429,12,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町３丁目,20240907,23,４階建て以上共同住宅,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町１丁目,20240807,14,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,20240129,10,その他,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,20240202,0,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,20241006,8,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,20231228,18,駐車（輪）場,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,20240715,10,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,20240726,8,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町７丁目,20240902,9,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,20240629,19,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,20241012,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,20241201,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町１丁目,20241220,7,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町３丁目,20240726,18,一戸建住宅,駐車（輪）場,10歳未満,小学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町３丁目,20240908,17,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町３丁目,20240930,20,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町３丁目,20241024,18,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森北町３丁目,20241109,17,道路上,その他,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,20240207,19,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,20240522,8,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,20240614,7,その他の住宅（３階建て以下共同住宅等）,その他,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町１丁目,20240703,18,その他,その他,10歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町２丁目,20240927,18,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町２丁目,20241005,17,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町３丁目,20240812,8,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,森,281018,兵庫県,神戸市東灘区,森南町３丁目,20240824,21,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240220,7,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240605,9,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240611,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240718,14,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240712,0,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240718,21,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240807,7,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240804,14,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240808,20,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240812,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240820,5,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240909,20,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240913,22,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240909,17,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240923,14,その他,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240924,6,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240924,7,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240927,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240925,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240928,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20240924,6,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20241014,2,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20241103,22,その他,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本１丁目,20241109,17,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本２丁目,20240115,8,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本２丁目,20241010,22,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,20240202,22,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本３丁目,20241010,23,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本７丁目,20241026,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本８丁目,20240514,10,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本８丁目,20240530,7,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本８丁目,20240909,9,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本８丁目,20241123,9,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240518,12,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240618,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240620,13,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240627,9,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240621,10,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240726,8,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240828,9,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240905,16,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20240924,16,一戸建住宅,その他,10歳未満,小学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20241002,14,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20241126,13,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20241207,11,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20241211,13,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本９丁目,20241221,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20240331,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20240904,21,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本１丁目,20241118,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本２丁目,20240107,22,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本２丁目,20240522,12,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本５丁目,20240510,19,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本５丁目,20240812,20,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,西岡本５丁目,20241110,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町１丁目,20240816,17,一戸建住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,20240210,18,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,20240708,9,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,東灘,岡本,281018,兵庫県,神戸市東灘区,本山北町３丁目,20240814,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町１丁目,20240803,23,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町１丁目,20240809,19,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町２丁目,20240601,17,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町２丁目,20240809,18,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町３丁目,20240205,16,４階建て以上共同住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町３丁目,20240416,16,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町４丁目,20231112,18,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町４丁目,20240203,20,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町４丁目,20231010,不明,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町５丁目,20240515,16,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,20240327,20,一戸建住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,20240531,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,20240704,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町２丁目,20240119,17,その他,その他,10歳代,小学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町３丁目,20240720,16,一戸建住宅,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町３丁目,20240817,14,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町４丁目,20240522,0,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町４丁目,20240731,12,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町５丁目,20240602,11,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,御影中町４丁目,20231228,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240418,18,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240623,17,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240806,19,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240923,14,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240929,14,４階建て以上共同住宅,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20240718,0,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20241109,13,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町３丁目,20241213,18,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,20240128,19,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,20240402,17,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,20240427,21,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,20240608,21,４階建て以上共同住宅,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,20240818,17,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町９丁目,20240827,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240501,15,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240727,17,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240901,15,その他,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240906,15,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木１丁目,20240919,19,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木２丁目,20231226,11,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木２丁目,20240409,19,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず
