罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,甲南町１丁目,2021[sanitize]12[sanitize]18,19,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,2021[sanitize]11[sanitize]02,09,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,2021[sanitize]11[sanitize]02,18,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,2021[sanitize]11[sanitize]03,01,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町２丁目,2021[sanitize]11[sanitize]01,23,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町３丁目,2021[sanitize]12[sanitize]19,00,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町４丁目,2021[sanitize]10[sanitize]07,19,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,田中町５丁目,2021[sanitize]10[sanitize]07,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,本山中町４丁目,2021[sanitize]11[sanitize]01,18,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,田中,281018,兵庫県,神戸市東灘区,本山南町８丁目,2021[sanitize]04[sanitize]22,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,東灘,阪急御影駅前,281018,兵庫県,神戸市東灘区,住吉南町１丁目,2021[sanitize]02[sanitize]28,12,道路上,その他,施錠せず,あり
窃盗,車上ねらい,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木６丁目,2021[sanitize]07[sanitize]29,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町８丁目,2021[sanitize]10[sanitize]08,01,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東灘,,,,,,2021[sanitize]10[sanitize]03,12,その他,その他,施錠せず,なし
窃盗,車上ねらい,灘,六甲,281026,兵庫県,神戸市灘区,神前町１丁目,2021[sanitize]11[sanitize]30,14,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,灘,六甲,281026,兵庫県,神戸市灘区,篠原南町２丁目,2021[sanitize]11[sanitize]28,10,一戸建住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,摩耶山町,2021[sanitize]03[sanitize]29,11,道路上,その他,施錠した,あり
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,摩耶山町,2021[sanitize]06[sanitize]10,23,道路上,その他,施錠した,あり
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,,2021[sanitize]02[sanitize]23,20,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,六甲山町一ケ谷,2021[sanitize]02[sanitize]14,18,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,六甲山町北六甲,2021[sanitize]03[sanitize]09,23,その他,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,灘,六甲山上,281026,兵庫県,神戸市灘区,六甲山町北六甲,2021[sanitize]06[sanitize]09,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,大石,281026,兵庫県,神戸市灘区,新在家南町３丁目,2021[sanitize]03[sanitize]11,00,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,灘,桜口,281026,兵庫県,神戸市灘区,友田町３丁目,2021[sanitize]09[sanitize]10,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,桜口,281026,兵庫県,神戸市灘区,友田町４丁目,2021[sanitize]09[sanitize]10,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,桜口,281026,兵庫県,神戸市灘区,備後町２丁目,2021[sanitize]10[sanitize]01,16,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,桜口,281026,兵庫県,神戸市灘区,備後町３丁目,2021[sanitize]09[sanitize]10,20,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,城内通４丁目,2021[sanitize]08[sanitize]18,07,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,灘北通１０丁目,2021[sanitize]06[sanitize]26,07,道路上,その他,施錠せず,なし
窃盗,車上ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,灘北通１０丁目,2021[sanitize]06[sanitize]26,18,道路上,その他,施錠せず,あり
窃盗,車上ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,灘北通１０丁目,2021[sanitize]06[sanitize]27,11,道路上,その他,施錠せず,なし
窃盗,車上ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,烏帽子町２丁目,2021[sanitize]09[sanitize]10,09,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,大石東町６丁目,2021[sanitize]11[sanitize]26,08,その他,その他,施錠せず,なし
窃盗,車上ねらい,灘,琵琶町,281026,兵庫県,神戸市灘区,下河原通５丁目,2021[sanitize]08[sanitize]18,18,その他,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町１丁目,2021[sanitize]05[sanitize]19,19,道路上,その他,施錠せず,あり
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,岩屋中町５丁目,2021[sanitize]12[sanitize]06,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通１丁目,2021[sanitize]12[sanitize]18,17,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,五毛通１丁目,2021[sanitize]12[sanitize]06,19,一戸建住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,五毛通４丁目,2021[sanitize]12[sanitize]18,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,箕岡通１丁目,2021[sanitize]03[sanitize]02,22,道路上,その他,施錠した,なし
窃盗,車上ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,薬師通１丁目,2021[sanitize]12[sanitize]06,21,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,布引町４丁目,2021[sanitize]04[sanitize]25,02,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,熊内町５丁目,2021[sanitize]11[sanitize]23,15,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,熊内町５丁目,2021[sanitize]11[sanitize]28,17,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,中尾前,281107,兵庫県,神戸市中央区,葺合町字蝉山,2021[sanitize]12[sanitize]06,00,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町５丁目,2021[sanitize]03[sanitize]20,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,琴ノ緒町５丁目,2021[sanitize]04[sanitize]13,14,その他,その他,施錠せず,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,二宮町２丁目,2021[sanitize]07[sanitize]29,10,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,布引町３丁目,2021[sanitize]01[sanitize]01,02,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,葺合,二宮,281107,兵庫県,神戸市中央区,布引町４丁目,2021[sanitize]05[sanitize]09,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町１丁目,2021[sanitize]05[sanitize]31,11,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通６丁目,2021[sanitize]05[sanitize]23,12,その他,その他,施錠せず,あり
窃盗,車上ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通６丁目,2021[sanitize]07[sanitize]10,21,道路上,その他,施錠せず,あり
窃盗,車上ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通６丁目,2021[sanitize]07[sanitize]18,10,道路上,その他,施錠せず,なし
窃盗,車上ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,国香通１丁目,2021[sanitize]06[sanitize]03,11,４階建て以上共同住宅,その他,施錠せず,なし
窃盗,車上ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,坂口通２丁目,2021[sanitize]12[sanitize]06,19,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,宮本通５丁目,2021[sanitize]09[sanitize]10,21,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,割塚通４丁目,2021[sanitize]08[sanitize]04,03,その他の住宅（３階建て以下共同住宅等）,その他,施錠せず,あり
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,吾妻通４丁目,2021[sanitize]09[sanitize]24,09,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,雲井通３丁目,2021[sanitize]03[sanitize]19,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,御幸通２丁目,2021[sanitize]11[sanitize]05,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通１丁目,2021[sanitize]09[sanitize]30,11,その他,その他,施錠せず,あり
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,北本町通１丁目,2021[sanitize]11[sanitize]02,16,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町１丁目,2021[sanitize]12[sanitize]06,13,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,脇浜町２丁目,2021[sanitize]10[sanitize]30,03,その他,その他,施錠せず,あり
窃盗,車上ねらい,葺合,熊内,281107,兵庫県,神戸市中央区,国香通６丁目,2021[sanitize]12[sanitize]18,15,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通２丁目,2021[sanitize]06[sanitize]13,09,その他,その他,施錠せず,あり
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町３丁目,2021[sanitize]02[sanitize]04,23,その他,その他,施錠せず,あり
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町４丁目,2021[sanitize]03[sanitize]29,08,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,相生町４丁目,2021[sanitize]09[sanitize]04,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,相生町５丁目,2021[sanitize]10[sanitize]15,12,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2021[sanitize]08[sanitize]25,14,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2021[sanitize]10[sanitize]09,12,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,一宮,281107,兵庫県,神戸市中央区,加納町２丁目,2021[sanitize]07[sanitize]26,09,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,一宮,281107,兵庫県,神戸市中央区,加納町２丁目,2021[sanitize]12[sanitize]18,22,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,一宮,281107,兵庫県,神戸市中央区,山本通２丁目,2021[sanitize]12[sanitize]18,22,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通６丁目,2021[sanitize]07[sanitize]29,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通７丁目,2021[sanitize]10[sanitize]20,18,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,加納町６丁目,2021[sanitize]03[sanitize]11,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]02[sanitize]26,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]03[sanitize]27,00,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]03[sanitize]30,07,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]05[sanitize]21,23,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]06[sanitize]04,08,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]09[sanitize]28,06,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,京町,281107,兵庫県,神戸市中央区,三宮町１丁目,2021[sanitize]11[sanitize]14,10,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,海岸通４丁目,2021[sanitize]11[sanitize]03,16,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,海岸通５丁目,2021[sanitize]11[sanitize]06,00,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,栄町通３丁目,2021[sanitize]09[sanitize]26,15,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町高架通,2021[sanitize]04[sanitize]15,07,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通５丁目,2021[sanitize]02[sanitize]19,22,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,元町通,281107,兵庫県,神戸市中央区,元町通６丁目,2021[sanitize]11[sanitize]05,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,北長狭通３丁目,2021[sanitize]01[sanitize]28,15,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町３丁目,2021[sanitize]08[sanitize]09,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町５丁目,2021[sanitize]07[sanitize]30,04,道路上,その他,施錠した,なし
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,下山手通８丁目,2021[sanitize]09[sanitize]19,14,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,多聞通１丁目,2021[sanitize]08[sanitize]09,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,小野柄通６丁目,2021[sanitize]03[sanitize]22,11,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,2021[sanitize]03[sanitize]18,09,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,2021[sanitize]11[sanitize]01,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2021[sanitize]03[sanitize]11,09,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2021[sanitize]07[sanitize]22,00,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2021[sanitize]11[sanitize]14,09,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2021[sanitize]12[sanitize]15,17,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2021[sanitize]04[sanitize]14,16,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2021[sanitize]05[sanitize]22,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通１丁目,2021[sanitize]10[sanitize]22,23,道路上,その他,施錠せず,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通２丁目,2021[sanitize]06[sanitize]21,09,道路上,その他,施錠した,なし
窃盗,車上ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通２丁目,2021[sanitize]12[sanitize]18,23,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2021[sanitize]05[sanitize]17,17,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2021[sanitize]06[sanitize]28,22,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,七宮町２丁目,2021[sanitize]10[sanitize]03,17,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,本町２丁目,2021[sanitize]01[sanitize]24,10,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2021[sanitize]06[sanitize]01,17,道路上,その他,施錠した,なし
窃盗,車上ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,中之島２丁目,2021[sanitize]05[sanitize]11,11,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通１丁目,2021[sanitize]02[sanitize]27,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,塚本通５丁目,2021[sanitize]09[sanitize]29,15,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,三川口町３丁目,2020[sanitize]10[sanitize]24,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,石井町８丁目,2021[sanitize]05[sanitize]25,21,駐車（輪）場,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,神田町,2021[sanitize]07[sanitize]05,13,その他,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地３丁目,2021[sanitize]08[sanitize]24,23,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地３丁目,2021[sanitize]10[sanitize]14,23,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地５丁目,2021[sanitize]03[sanitize]25,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,大開通１丁目,2021[sanitize]08[sanitize]06,13,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,大開通２丁目,2021[sanitize]03[sanitize]17,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,小河通２丁目,2021[sanitize]11[sanitize]08,13,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,小河通３丁目,2021[sanitize]11[sanitize]05,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,松原通２丁目,2021[sanitize]05[sanitize]31,15,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,2021[sanitize]06[sanitize]21,10,道路上,その他,施錠せず,なし
窃盗,車上ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町１丁目,2021[sanitize]03[sanitize]27,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,湊川町３丁目,2021[sanitize]11[sanitize]09,07,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,湊川町７丁目,2021[sanitize]06[sanitize]20,09,道路上,その他,施錠せず,あり
窃盗,車上ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,会下山町１丁目,2021[sanitize]12[sanitize]09,13,その他,その他,施錠せず,あり
