罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町５丁目,2018-03-16,21,その他,ナンバープレート
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎北町５丁目,2018-04-05,16,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎西町４丁目,2018-01-14,15,駐車（輪）場,その他
窃盗,部品ねらい,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎浜町,2018-08-24,18,駐車（輪）場,その他
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町４丁目,2018-09-13,07,駐車（輪）場,その他
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町５丁目,2017-06-20,14,駐車（輪）場,その他
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町５丁目,2018-02-17,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉宮町５丁目,2018-10-13,08,駐車（輪）場,その他
窃盗,部品ねらい,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉本町１丁目,2018-09-14,06,駐車（輪）場,その他
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町２丁目,2018-02-10,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町２丁目,2018-05-30,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町５丁目,2018-08-19,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町８丁目,2018-02-13,08,駐車（輪）場,その他
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2018-01-16,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2018-05-20,21,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影塚町２丁目,2018-06-04,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影石町１丁目,2018-01-26,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,住吉台,2018-02-24,00,駐車（輪）場,その他
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東３丁目,2018-02-09,01,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2018-11-02,20,駐車（輪）場,その他
窃盗,部品ねらい,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原北町１丁目,2018-09-21,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,赤坂,281026,兵庫県,神戸市灘区,永手町４丁目,2018-12-26,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,王子公園,281026,兵庫県,神戸市灘区,原田通３丁目,2018-11-01,20,駐車（輪）場,その他
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,新在家南町２丁目,2018-04-27,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,友田町５丁目,2018-01-15,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,浜田町１丁目,2018-04-13,17,駐車（輪）場,その他
窃盗,部品ねらい,灘,桜口,281026,兵庫県,神戸市灘区,浜田町１丁目,2018-07-09,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,大石,281026,兵庫県,神戸市灘区,下河原通４丁目,2018-08-10,21,道路上,その他
窃盗,部品ねらい,灘,西灘,281026,兵庫県,神戸市灘区,灘南通５丁目,2018-09-08,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2017-12-16,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2018-06-14,01,駐車（輪）場,その他
窃盗,部品ねらい,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2018-10-27,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,宮本,281107,兵庫県,神戸市中央区,大日通１丁目,2017-12-25,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,熊内,281107,兵庫県,神戸市中央区,熊内橋通４丁目,2018-07-05,20,４階建て以上共同住宅,その他
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町１丁目,2018-06-06,12,４階建て以上共同住宅,その他
窃盗,部品ねらい,葺合,割塚,281107,兵庫県,神戸市中央区,脇浜町３丁目,2018-04-03,07,駐車（輪）場,その他
窃盗,部品ねらい,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通３丁目,2018-08-22,21,道路上,その他
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,磯辺通２丁目,2018-11-17,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,琴ノ緒町４丁目,2018-10-22,06,駐車（輪）場,その他
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,布引町２丁目,2018-10-04,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,三宮センター,281107,兵庫県,神戸市中央区,浜辺通６丁目,2018-12-23,01,道路上,その他
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通３丁目,2018-03-06,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,磯上通３丁目,2018-05-11,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,小野柄,281107,兵庫県,神戸市中央区,御幸通３丁目,2018-05-12,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,葺合,春日野,281107,兵庫県,神戸市中央区,吾妻通２丁目,2018-06-02,09,駐車（輪）場,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,三宮町１丁目,2018-09-20,18,駐車（輪）場,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,下山手通１丁目,2018-09-14,16,道路上,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,中山手通３丁目,2018-03-28,01,駐車（輪）場,その他
窃盗,部品ねらい,生田,生田前,281107,兵庫県,神戸市中央区,東川崎町１丁目,2018-09-18,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,生田,京町,281107,兵庫県,神戸市中央区,明石町,2018-02-21,15,道路上,ナンバープレート
窃盗,部品ねらい,生田,元町駅,281107,兵庫県,神戸市中央区,元町通１丁目,2018-12-02,08,駐車（輪）場,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通５丁目,2017-12-27,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,生田,下山手,281107,兵庫県,神戸市中央区,下山手通７丁目,2018-07-05,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町４丁目,2018-04-13,08,道路上,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町４丁目,2018-05-02,08,道路上,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,楠町６丁目,2018-05-23,01,駐車（輪）場,その他
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,橘通４丁目,2018-08-03,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,大倉山,281107,兵庫県,神戸市中央区,多聞通５丁目,2018-03-29,18,駐車（輪）場,その他
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,古湊通１丁目,2018-11-01,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,中町通３丁目,2018-01-12,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,デュオこうべ,281107,兵庫県,神戸市中央区,東川崎町１丁目,2017-12-28,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2018-04-13,09,駐車（輪）場,その他
窃盗,部品ねらい,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2018-05-05,10,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,石井町５丁目,2018-10-27,14,道路上,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町２丁目,2017-12-10,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,菊水町３丁目,2018-12-25,19,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,平野,281051,兵庫県,神戸市兵庫区,湊山町,2018-10-18,18,道路上,その他
窃盗,部品ねらい,兵庫,荒田,281051,兵庫県,神戸市兵庫区,荒田町３丁目,2018-05-14,15,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,福原,281051,兵庫県,神戸市兵庫区,西橘通１丁目,2018-03-21,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,荒田町１丁目,2018-04-13,15,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,2018-05-03,10,道路上,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地１丁目,2018-09-23,13,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,新開地２丁目,2018-08-10,20,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,湊川,281051,兵庫県,神戸市兵庫区,中道通１丁目,2018-10-20,16,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,永沢町２丁目,2018-07-20,09,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,佐比江町,2018-05-04,07,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地３丁目,2018-06-22,20,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,新開地,281051,兵庫県,神戸市兵庫区,西出町１丁目,2018-07-18,18,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,熊野,281051,兵庫県,神戸市兵庫区,氷室町１丁目,2018-03-15,07,道路上,その他
窃盗,部品ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,菊水町１０丁目,2018-06-12,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,菊水西,281051,兵庫県,神戸市兵庫区,湊川町１０丁目,2018-05-22,17,道路上,その他
窃盗,部品ねらい,兵庫,皿池,281051,兵庫県,神戸市兵庫区,中道通４丁目,2018-03-17,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,大開,281051,兵庫県,神戸市兵庫区,三川口町２丁目,2018-10-17,19,その他,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通１丁目,2018-09-15,06,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通２丁目,2018-10-20,20,その他,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通３丁目,2018-04-16,12,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,駅前通４丁目,2018-09-17,02,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,兵庫駅前,281051,兵庫県,神戸市兵庫区,大開通８丁目,2018-09-11,15,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,七宮町２丁目,2018-03-19,08,４階建て以上共同住宅,その他
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,島上町１丁目,2018-09-15,21,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,島上町２丁目,2018-06-09,21,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,兵庫町１丁目,2018-11-02,20,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,七宮,281051,兵庫県,神戸市兵庫区,兵庫町２丁目,2018-02-08,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,切戸町,2018-06-23,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2018-01-05,12,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,築地町,2018-09-07,19,道路上,その他
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,中之島１丁目,2018-12-23,18,その他,その他
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,兵庫町１丁目,2018-03-27,17,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,中之島,281051,兵庫県,神戸市兵庫区,和田宮通３丁目,2018-09-04,16,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,芦原通１丁目,2018-02-15,06,道路上,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,駅南通３丁目,2018-03-18,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,小河通３丁目,2018-01-26,02,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,須佐野通３丁目,2018-01-30,14,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,須佐野通４丁目,2018-09-02,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,明和通２丁目,2018-01-10,02,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,明親,281051,兵庫県,神戸市兵庫区,明和通２丁目,2018-10-06,16,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,笠松通５丁目,2018-03-27,19,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,笠松通５丁目,2018-11-18,20,一戸建住宅,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,金平町１丁目,2018-07-23,07,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,金平町２丁目,2018-04-06,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,御崎本町１丁目,2018-09-01,11,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,御崎本町４丁目,2018-11-25,00,道路上,その他
窃盗,部品ねらい,兵庫,御崎公園,281051,兵庫県,神戸市兵庫区,吉田町１丁目,2018-06-14,19,駐車（輪）場,その他
窃盗,部品ねらい,兵庫,キャナルタウン,281051,兵庫県,神戸市兵庫区,駅南通５丁目,2017-04-11,00,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,花山町１丁目,2018-02-16,14,駐車（輪）場,その他
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,檜川町３丁目,2018-07-17,20,一戸建住宅,その他
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,堀切町,2018-11-07,09,一戸建住宅,ナンバープレート
窃盗,部品ねらい,長田,丸山,281069,兵庫県,神戸市長田区,丸山町３丁目,2018-01-25,12,一戸建住宅,その他
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,長田天神町５丁目,2018-03-05,19,駐車（輪）場,その他
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,長田天神町６丁目,2018-07-28,10,駐車（輪）場,その他
窃盗,部品ねらい,長田,名倉,281069,兵庫県,神戸市長田区,明泉寺町１丁目,2018-06-09,18,道路上,ナンバープレート
窃盗,部品ねらい,長田,寺池,281069,兵庫県,神戸市長田区,片山町５丁目,2018-03-05,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,寺池,281069,兵庫県,神戸市長田区,寺池町２丁目,2018-02-11,05,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,長田,281069,兵庫県,神戸市長田区,大塚町５丁目,2018-03-28,19,道路上,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町１丁目,2018-11-14,21,道路上,その他
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,北町３丁目,2018-11-22,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,御蔵,281069,兵庫県,神戸市長田区,御蔵通５丁目,2018-01-31,12,道路上,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,苅藻島町２丁目,2018-01-31,15,道路上,タイヤ・ホイール
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,苅藻通１丁目,2018-11-11,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,浜添通２丁目,2018-05-01,12,一戸建住宅,その他
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町２丁目,2016-03-01,09,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,東尻池町３丁目,2018-11-10,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,湊川大橋,281069,兵庫県,神戸市長田区,御蔵通６丁目,2018-08-07,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,大谷,281069,兵庫県,神戸市長田区,大谷町１丁目,2018-04-12,15,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,長田,大谷,281069,兵庫県,神戸市長田区,御船通４丁目,2018-08-28,16,駐車（輪）場,その他
窃盗,部品ねらい,長田,大谷,281069,兵庫県,神戸市長田区,山下町１丁目,2018-02-17,10,一戸建住宅,その他
窃盗,部品ねらい,長田,大谷,281069,兵庫県,神戸市長田区,山下町３丁目,2018-01-17,20,道路上,その他
窃盗,部品ねらい,長田,平和台,281069,兵庫県,神戸市長田区,長尾町１丁目,2018-03-18,09,駐車（輪）場,その他
窃盗,部品ねらい,長田,平和台,281069,兵庫県,神戸市長田区,長尾町１丁目,2018-08-31,08,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,平和台,281069,兵庫県,神戸市長田区,平和台町２丁目,2018-05-15,18,一戸建住宅,その他
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,大橋町４丁目,2018-03-03,11,道路上,タイヤ・ホイール
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,大道通１丁目,2018-02-20,08,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,神楽町６丁目,2018-05-14,19,駐車（輪）場,その他
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町４丁目,2018-03-03,15,道路上,タイヤ・ホイール
窃盗,部品ねらい,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町６丁目,2018-06-03,10,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,大道通１丁目,2017-12-15,12,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,御屋敷通３丁目,2018-04-06,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,御屋敷通３丁目,2018-08-14,13,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,神楽町２丁目,2018-10-18,12,駐車（輪）場,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,松野通２丁目,2018-11-25,00,道路上,その他
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,松野通４丁目,2017-11-20,00,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,長田,水笠,281069,兵庫県,神戸市長田区,水笠通１丁目,2018-10-20,19,駐車（輪）場,その他
窃盗,部品ねらい,長田,久保,281069,兵庫県,神戸市長田区,腕塚町６丁目,2018-02-01,07,道路上,その他
窃盗,部品ねらい,長田,久保,281069,兵庫県,神戸市長田区,駒ケ林町５丁目,2018-01-12,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,長田,久保,281069,兵庫県,神戸市長田区,二葉町８丁目,2018-12-07,18,道路上,ナンバープレート
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,駒ケ林南町,2018-02-23,17,駐車（輪）場,その他
窃盗,部品ねらい,長田,野田,281069,兵庫県,神戸市長田区,本庄町６丁目,2016-12-26,06,駐車（輪）場,ナンバープレート
