罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,生田,大倉山,281107,兵庫県,神戸市中央区,元町高架通,2019-11-17,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,ハーバーランド,281107,兵庫県,神戸市中央区,東川崎町１丁目,2019-10-22,23,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,平野,281051,兵庫県,神戸市兵庫区,下三条町,2019-01-05,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,平野,281051,兵庫県,神戸市兵庫区,千鳥町３丁目,2019-03-28,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西上橘通１丁目,2018-05-19,09,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西上橘通２丁目,2019-10-12,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西上橘通２丁目,2019-10-14,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,福原,281051,兵庫県,神戸市兵庫区,西橘通１丁目,2019-02-18,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町１丁目,2019-02-18,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,湊川,281051,兵庫県,神戸市兵庫区,東山町３丁目,2019-02-27,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,新開地２丁目,2019-10-20,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,新開地,281051,兵庫県,神戸市兵庫区,東出町２丁目,2019-02-23,15,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,兵庫,明親,281051,兵庫県,神戸市兵庫区,松原通２丁目,2019-11-29,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,名倉,281069,兵庫県,神戸市長田区,名倉町１丁目,2019-12-19,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,名倉,281069,兵庫県,神戸市長田区,明泉寺町３丁目,2019-12-10,20,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,御蔵,281069,兵庫県,神戸市長田区,菅原通７丁目,2019-05-02,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,北町２丁目,2019-10-07,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,松野通１丁目,2019-01-28,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町２丁目,2019-12-10,18,道路上,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,新長田駅前,281069,兵庫県,神戸市長田区,若松町５丁目,2019-10-23,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,長田,久保,281069,兵庫県,神戸市長田区,南駒栄町,2019-04-01,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,長田,野田,281069,兵庫県,神戸市長田区,海運町２丁目,2019-03-23,14,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,須磨,板宿,281077,兵庫県,神戸市須磨区,禅昌寺町１丁目,2019-03-17,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,須磨駅前,281077,兵庫県,神戸市須磨区,磯馴町５丁目,2019-02-17,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,多井畑,281077,兵庫県,神戸市須磨区,多井畑南町,2019-03-29,20,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,菅の台,281077,兵庫県,神戸市須磨区,菅の台３丁目,2019-03-19,08,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2019-03-20,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2019-07-24,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合２丁目,2019-11-23,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,中落合３丁目,2019-11-05,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,名谷中央,281077,兵庫県,神戸市須磨区,緑台,2019-09-12,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,須磨,横尾,281077,兵庫県,神戸市須磨区,道正台１丁目,不明,不明,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,平尾,281085,兵庫県,神戸市垂水区,泉が丘３丁目,2019-03-09,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2019-02-24,12,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2019-04-03,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,名谷,281085,兵庫県,神戸市垂水区,名谷町,2019-06-01,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,名谷,281085,兵庫県,神戸市垂水区,小束山本町１丁目,2019-11-19,09,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,千鳥が丘２丁目,2019-01-18,13,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,日向１丁目,2019-12-12,11,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,垂水駅前,281085,兵庫県,神戸市垂水区,宮本町,2019-09-25,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,北舞子,281085,兵庫県,神戸市垂水区,清水が丘３丁目,2019-07-09,23,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,西舞子,281085,兵庫県,神戸市垂水区,清水が丘３丁目,2019-10-04,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,西舞子,281085,兵庫県,神戸市垂水区,西舞子６丁目,2019-03-29,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,垂水,多聞,281085,兵庫県,神戸市垂水区,本多聞１丁目,2019-05-31,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,明舞,281085,兵庫県,神戸市垂水区,狩口台２丁目,2019-04-10,17,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,垂水,青山台,281085,兵庫県,神戸市垂水区,青山台１丁目,2019-04-26,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町２丁目,2019-10-14,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸水上,ポートアイランド,281107,兵庫県,神戸市中央区,港島中町２丁目,2019-10-14,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,上池,281115,兵庫県,神戸市西区,玉津町西河原,2019-07-09,10,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,池上４丁目,2019-04-27,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,伊川谷,281115,兵庫県,神戸市西区,今寺,2019-10-05,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,枝吉,281115,兵庫県,神戸市西区,持子２丁目,2019-02-06,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,枝吉,281115,兵庫県,神戸市西区,森友２丁目,2019-11-12,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸西,狩場台,281115,兵庫県,神戸市西区,糀台５丁目,2018-12-30,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,有馬,長尾,281093,兵庫県,神戸市北区,上津台８丁目,2019-08-31,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,神戸北,谷上駅前,281093,兵庫県,神戸市北区,山田町上谷上字古々谷,2019-01-26,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,神戸北,谷上駅前,281093,兵庫県,神戸市北区,谷上西町,2019-04-01,12,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,芦屋,高浜,282065,兵庫県,芦屋市,高浜町,2019-03-11,不明,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,田中町,2019-06-25,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,馬場町,2019-04-25,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2019-01-20,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2019-03-01,04,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,札場筋,282049,兵庫県,西宮市,六湛寺町,2019-05-02,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,夙川駅前,282049,兵庫県,西宮市,相生町,2019-03-07,09,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮駅前,282049,兵庫県,西宮市,池田町,2019-05-05,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,社前,282049,兵庫県,西宮市,今津大東町,2019-10-07,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,北口町,2019-03-06,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高木西町,2019-02-02,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高木東町,2019-02-25,19,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,高松町,2019-03-06,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,西宮中央,282049,兵庫県,西宮市,長田町,2019-08-07,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,北口西,282049,兵庫県,西宮市,甲風園１丁目,2019-03-01,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,北口西,282049,兵庫県,西宮市,甲風園１丁目,2019-07-05,08,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,北口西,282049,兵庫県,西宮市,平木町,2019-01-08,23,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,大森町,2019-10-05,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,甲東園１丁目,2019-07-19,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西宮,上之町,282049,兵庫県,西宮市,門前町,2019-05-13,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,門戸,282049,兵庫県,西宮市,伏原町,2019-03-03,17,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,甲東園,282049,兵庫県,西宮市,松籟荘,2019-02-17,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,甲東園,282049,兵庫県,西宮市,仁川町２丁目,2019-03-03,04,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,甲東園,282049,兵庫県,西宮市,仁川町３丁目,2018-12-29,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,仁川町６丁目,2019-03-18,10,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,西宮,上ヶ原,282049,兵庫県,西宮市,仁川町６丁目,2019-03-23,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,本郷,282049,兵庫県,西宮市,甲子園八番町,2019-04-03,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,小松,282049,兵庫県,西宮市,若草町２丁目,2019-03-14,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,中津,282049,兵庫県,西宮市,甲子園町,2019-07-10,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,甲子園,中津,282049,兵庫県,西宮市,甲子園町,2019-07-10,18,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,中津,282049,兵庫県,西宮市,甲子園町,2019-09-10,18,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,甲子園,高須,282049,兵庫県,西宮市,高須町２丁目,2019-01-28,11,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,西難波,282022,兵庫県,尼崎市,西難波町５丁目,2019-03-24,11,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,昭和通,282022,兵庫県,尼崎市,昭和通７丁目,2018-12-31,23,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,中央,282022,兵庫県,尼崎市,神田北通２丁目,2015-04-10,15,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,中央,282022,兵庫県,尼崎市,神田北通３丁目,2019-05-31,21,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,中央,282022,兵庫県,尼崎市,昭和南通５丁目,2019-03-08,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,中央,282022,兵庫県,尼崎市,昭和南通５丁目,2019-04-16,20,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,中央,282022,兵庫県,尼崎市,御園町,2019-05-13,10,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,大物,282022,兵庫県,尼崎市,北大物町,2019-05-11,13,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,大物,282022,兵庫県,尼崎市,昭和通２丁目,2019-04-09,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,大島,282022,兵庫県,尼崎市,稲葉荘１丁目,2019-01-05,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,大島,282022,兵庫県,尼崎市,稲葉荘１丁目,2019-03-20,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,大島,282022,兵庫県,尼崎市,浜田町２丁目,2019-01-05,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,大島,282022,兵庫県,尼崎市,大庄北１丁目,2019-04-01,10,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,七松,282022,兵庫県,尼崎市,七松町１丁目,2019-02-21,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,七松,282022,兵庫県,尼崎市,七松町１丁目,2019-03-20,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,七松,282022,兵庫県,尼崎市,七松町３丁目,2019-04-10,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,七松,282022,兵庫県,尼崎市,南七松町１丁目,2019-02-23,13,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,大庄,282022,兵庫県,尼崎市,大庄西町３丁目,2019-01-20,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,元浜,282022,兵庫県,尼崎市,元浜町１丁目,2019-02-02,21,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎南,元浜,282022,兵庫県,尼崎市,元浜町４丁目,2019-11-08,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,センタープール前,282022,兵庫県,尼崎市,崇徳院２丁目,2019-01-03,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎南,センタープール前,282022,兵庫県,尼崎市,崇徳院２丁目,2019-07-20,20,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎東,長洲,282022,兵庫県,尼崎市,金楽寺町２丁目,2019-04-04,14,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎東,杭瀬,282022,兵庫県,尼崎市,杭瀬本町１丁目,2019-09-04,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,潮江,282022,兵庫県,尼崎市,潮江１丁目,2019-04-10,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎東,潮江,282022,兵庫県,尼崎市,下坂部１丁目,2019-06-01,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎東,潮江,282022,兵庫県,尼崎市,次屋２丁目,2019-03-26,12,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,神崎,282022,兵庫県,尼崎市,次屋３丁目,2019-01-07,12,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,下坂部,282022,兵庫県,尼崎市,下坂部４丁目,2019-04-27,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,上坂部,282022,兵庫県,尼崎市,小中島１丁目,2019-03-06,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,上坂部,282022,兵庫県,尼崎市,若王寺２丁目,2019-05-10,12,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,上坂部,282022,兵庫県,尼崎市,若王寺３丁目,2019-05-10,07,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,園田駅前,282022,兵庫県,尼崎市,東園田町６丁目,2019-03-06,00,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎東,モスリン橋,282022,兵庫県,尼崎市,戸ノ内町５丁目,2019-02-11,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎北,塚口東,282022,兵庫県,尼崎市,塚口本町２丁目,2019-09-15,05,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎北,塚口東,282022,兵庫県,尼崎市,塚口本町３丁目,2019-05-20,15,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎北,塚口西,282022,兵庫県,尼崎市,塚口町１丁目,2019-05-25,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎北,南武庫之荘,282022,兵庫県,尼崎市,南武庫之荘９丁目,2019-11-26,15,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎北,南武庫之荘,282022,兵庫県,尼崎市,南武庫之荘１１丁目,2019-07-19,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
