market,tf,signal,dir,N,k_range,k_vol,H,n,mean_net_pct,win_rate,t_stat,excess_pct
BTCUSD,1h,wick,short,24,3.0,1.5,4,251,-0.107054527566737,0.43824701195219123,-1.2999313620751718,0.025278500252487866
BTCUSD,1h,wick,short,24,3.0,1.5,24,243,-0.3938895358402261,0.4773662551440329,-1.854786719639997,-0.10172333678108042
BTCUSD,1h,capit,long,24,3.0,2.0,4,661,-0.15339966916106373,0.46444780635400906,-2.0090947319618495,-0.08573269698028844
BTCUSD,1h,capit,long,24,3.0,2.0,24,558,-0.3781432306389765,0.47491039426523296,-2.3148520360059313,-0.47030942969812206
BTCUSD,1h,capit,short,24,3.0,2.0,4,646,-0.28133069553680096,0.44427244582043346,-4.342663045259355,-0.14899766771757608
BTCUSD,1h,capit,short,24,3.0,2.0,24,544,-0.612049778842626,0.44485294117647056,-4.002544338977085,-0.31988357978348025
BTCUSD,1h,wick,long,24,3.0,2.0,4,260,-0.0847359778017078,0.48846153846153845,-0.8335737318267049,-0.01706900562093252
BTCUSD,1h,wick,long,24,3.0,2.0,24,249,-0.546180378274443,0.4899598393574297,-2.4788236134695394,-0.6383465773335886
BTCUSD,1h,wick,short,24,3.0,2.0,4,246,-0.11137707125893218,0.4349593495934959,-1.3271885168868494,0.020955956560292706
BTCUSD,1h,wick,short,24,3.0,2.0,24,238,-0.4539698334942226,0.47058823529411764,-2.129754349156899,-0.1618036344350769
BTCUSD,1h,capit,long,24,3.0,3.0,4,635,-0.17396794007845887,0.4582677165354331,-2.2185169887857774,-0.10630096789768359
BTCUSD,1h,capit,long,24,3.0,3.0,24,539,-0.4107223250206439,0.47680890538033394,-2.490775118925805,-0.5028885240797896
BTCUSD,1h,capit,short,24,3.0,3.0,4,611,-0.2823943667750176,0.4500818330605565,-4.328842783581455,-0.15006133895579274
BTCUSD,1h,capit,short,24,3.0,3.0,24,518,-0.6152056544546481,0.444015444015444,-3.850777485847659,-0.3230394553955023
BTCUSD,1h,wick,long,24,3.0,3.0,4,241,-0.06997951446589717,0.4896265560165975,-0.646174206646239,-0.0023125422851218783
BTCUSD,1h,wick,long,24,3.0,3.0,24,232,-0.5904785228713249,0.49137931034482757,-2.4968352839032946,-0.6826447219304703
BTCUSD,1h,wick,short,24,3.0,3.0,4,231,-0.09634122852487263,0.42424242424242425,-1.1317906609495447,0.03599179929435223
BTCUSD,1h,wick,short,24,3.0,3.0,24,224,-0.3769372678168097,0.4732142857142857,-1.814155811302829,-0.08477106875766394
BTCUSD,1h,capit,long,48,1.5,1.5,4,1171,0.016632636078407148,0.5132365499573015,0.27461928557548354,0.08429960825918244
BTCUSD,1h,capit,long,48,1.5,1.5,24,755,-0.24916306590476991,0.5059602649006623,-1.6619495234028945,-0.3413292649639155
BTCUSD,1h,capit,short,48,1.5,1.5,4,1403,-0.24204013112560457,0.4540270848182466,-5.652314025810359,-0.1097071033063797
BTCUSD,1h,capit,short,48,1.5,1.5,24,880,-0.6841142634902667,0.4409090909090909,-5.5832620813106635,-0.39194806443112096
BTCUSD,1h,wick,long,48,1.5,1.5,4,1093,-0.05508864786570571,0.5233302836230558,-1.0035063989218553,0.012578324315069583
BTCUSD,1h,wick,long,48,1.5,1.5,24,785,-0.058507639945621,0.5490445859872611,-0.4321448353151146,-0.15067383900476658
BTCUSD,1h,wick,short,48,1.5,1.5,4,1045,-0.17738434461532795,0.44688995215311006,-3.87293391830321,-0.045051316796103066
BTCUSD,1h,wick,short,48,1.5,1.5,24,736,-0.45962376357640294,0.45516304347826086,-4.071270617139979,-0.16745756451725718
BTCUSD,1h,capit,long,48,1.5,2.0,4,1125,0.0165273844608304,0.5128888888888888,0.265450615450098,0.08419435664160572
BTCUSD,1h,capit,long,48,1.5,2.0,24,732,-0.21648913325714184,0.5013661202185792,-1.391866737001625,-0.3086553323162874
BTCUSD,1h,capit,short,48,1.5,2.0,4,1307,-0.2349173819079683,0.45830145371078806,-5.292114550220016,-0.10258435408874347
BTCUSD,1h,capit,short,48,1.5,2.0,24,843,-0.6527323522011194,0.4483985765124555,-5.193279559962967,-0.3605661531419736
BTCUSD,1h,wick,long,48,1.5,2.0,4,1026,-0.04994768539516207,0.5282651072124757,-0.8675750336163666,0.017719286785613235
BTCUSD,1h,wick,long,48,1.5,2.0,24,745,-0.08446549063748952,0.5409395973154363,-0.6034245641809164,-0.1766316896966351
BTCUSD,1h,wick,short,48,1.5,2.0,4,970,-0.17430694336204863,0.44432989690721647,-3.6439869710467816,-0.04197391554282376
BTCUSD,1h,wick,short,48,1.5,2.0,24,700,-0.5019845478731211,0.46,-4.2751685087891955,-0.20981834881397526
BTCUSD,1h,capit,long,48,1.5,3.0,4,974,-0.015935635927848055,0.5,-0.23137319511532412,0.05173133625292725
BTCUSD,1h,capit,long,48,1.5,3.0,24,662,-0.2767381305020998,0.49395770392749244,-1.6718297277496676,-0.3689043295612453
BTCUSD,1h,capit,short,48,1.5,3.0,4,1048,-0.2623656209593164,0.44274809160305345,-5.28206512839989,-0.13003259314009155
BTCUSD,1h,capit,short,48,1.5,3.0,24,722,-0.7406099312216364,0.44182825484764543,-5.573719976870628,-0.4484437321624908
BTCUSD,1h,wick,long,48,1.5,3.0,4,801,-0.05131275670361405,0.529338327091136,-0.7565017425421191,0.016354215477161246
BTCUSD,1h,wick,long,48,1.5,3.0,24,606,-0.2041916775902407,0.523102310231023,-1.3312962320529014,-0.2963578766493863
BTCUSD,1h,wick,short,48,1.5,3.0,4,735,-0.17629491972020422,0.42585034013605444,-3.323707958576559,-0.04396189190097935
BTCUSD,1h,wick,short,48,1.5,3.0,24,559,-0.5122496405461202,0.4543828264758497,-3.9408146455591466,-0.2200834414869745
BTCUSD,1h,capit,long,48,2.0,1.5,4,956,0.010014129354094993,0.5010460251046025,0.15477753772207042,0.0776811015348703
BTCUSD,1h,capit,long,48,2.0,1.5,24,656,-0.1207397092786831,0.5045731707317073,-0.7206975605176129,-0.2129059083378287
BTCUSD,1h,capit,short,48,2.0,1.5,4,1050,-0.2657383024738722,0.44476190476190475,-5.267810407247305,-0.13340527465464733
BTCUSD,1h,capit,short,48,2.0,1.5,24,726,-0.6573850194539197,0.44214876033057854,-5.0277922028308195,-0.36521882039477394
BTCUSD,1h,wick,long,48,2.0,1.5,4,681,-0.0896026011168857,0.5212922173274597,-1.2165296933292356,-0.021935628936110396
BTCUSD,1h,wick,long,48,2.0,1.5,24,538,-0.2919207666803378,0.5223048327137546,-1.8270382711462685,-0.3840869657394833
