time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-22 21:00:00,99775.7590,8902760435.9751,2.8521,2.1043,2.4611,0.5506
2026-01-22 22:00:00,99519.1990,8890399379.2509,2.8618,2.1215,2.4690,0.8643
2026-01-22 23:00:00,99638.4580,8919604868.6226,2.8779,2.1187,2.4829,0.7125
2026-01-23 00:00:00,99726.1390,8924148778.1848,2.8868,2.1089,2.4905,0.4132
2026-01-23 01:00:00,99674.5190,8960739258.1000,2.8818,2.1114,2.4959,1.0769
2026-01-23 02:00:00,99629.4980,8928608798.2321,2.8100,2.1552,2.4295,1.0950
2026-01-23 03:00:00,99655.4640,8957641002.6504,2.7991,2.1508,2.4209,0.7714
2026-01-23 04:00:00,99714.2450,8967306594.1837,2.7708,2.1351,2.4146,0.7351
2026-01-23 05:00:00,99667.0620,8928574107.4856,2.7709,2.1361,2.4015,0.9010
2026-01-23 06:00:00,99677.3700,8918637439.2609,2.7665,2.1445,2.3915,0.7732
2026-01-23 07:00:00,99648.3670,8919635266.1477,2.7690,2.1468,2.3956,1.3163
2026-01-23 08:00:00,99855.5580,8905804022.5092,2.7697,2.1528,2.3819,0.9860
2026-01-23 09:00:00,100100.1330,8902905829.0200,2.8004,2.1758,2.3951,1.9775
2026-01-23 10:00:00,100367.8950,8934408762.0570,2.8486,2.1842,2.4419,0.7998
2026-01-23 11:00:00,100557.9670,8966874586.9504,2.8888,2.1925,2.4856,0.3400
2026-01-23 12:00:00,100642.4740,8979522187.3065,2.8711,2.1814,2.4766,0.8467
2026-01-23 13:00:00,100670.2940,8990924359.3164,2.8675,2.1593,2.4790,0.8798
2026-01-23 14:00:00,101189.3870,9002368966.3370,2.8825,2.1741,2.4754,1.7267
2026-01-23 15:00:00,100925.9400,9054378947.8140,2.8345,2.1727,2.4576,1.0975
2026-01-23 16:00:00,100756.0910,9077267372.3265,2.5906,2.0876,2.2821,0.5288
2026-01-23 17:00:00,100795.5370,9129646479.7583,2.4245,2.0865,2.1658,1.0554
2026-01-23 18:00:00,100582.4300,9101321877.4660,2.3851,2.0741,2.1250,0.8001
2026-01-23 19:00:00,98924.4550,8897087418.6810,2.4914,2.0477,2.2125,1.7862
2026-01-23 20:00:00,98251.7190,8785800533.3243,2.5677,2.0722,2.2672,0.9509
2026-01-23 21:00:00,98422.7200,8789839590.9884,2.5676,2.0810,2.2672,0.8199
2026-01-23 22:00:00,98392.7830,8814556822.1682,2.5936,2.0954,2.2913,2.5923
2026-01-23 23:00:00,98288.6210,8802610950.4148,2.6088,2.1017,2.3015,2.1042
2026-01-24 00:00:00,98241.6020,8784556618.1900,2.6261,2.1063,2.3074,1.2740
2026-01-24 01:00:00,98324.7760,8801326009.1328,2.6512,2.1085,2.3318,0.4354
2026-01-24 02:00:00,98260.6030,8810664706.7789,2.6510,2.1114,2.3537,5.0561
2026-01-24 03:00:00,98663.2210,8853889457.7085,2.6342,2.1030,2.3536,2.7076
2026-01-24 04:00:00,98648.9370,8859335490.4779,2.6572,2.1063,2.3733,2.1461
2026-01-24 05:00:00,98666.8120,8854793842.8528,2.6544,2.1103,2.3717,3.7523
2026-01-24 06:00:00,98596.9590,8835514360.5017,2.6473,2.1195,2.3569,0.8327
2026-01-24 07:00:00,98666.1800,8838815969.9365,2.6529,2.1204,2.3580,1.0815
2026-01-24 08:00:00,98645.7830,8842147192.2230,2.6731,2.1193,2.3767,1.0574
2026-01-24 09:00:00,98814.0930,8850556866.8045,2.6676,2.1108,2.3675,0.7176
2026-01-24 10:00:00,98864.6750,8857296119.7175,2.6730,2.1124,2.3716,0.1841
2026-01-24 11:00:00,98932.3710,8860596506.6055,2.6843,2.1085,2.3827,0.9951
2026-01-24 12:00:00,99025.2340,8862539022.7162,2.6938,2.1090,2.3811,0.7072
2026-01-24 13:00:00,99242.5990,8865116229.6063,2.7219,2.1165,2.4012,0.2164
2026-01-24 14:00:00,99308.9960,8878988921.6692,2.7617,2.1420,2.4385,0.9013
2026-01-24 15:00:00,99247.8660,8856614468.1112,2.7810,2.1342,2.4437,0.8249
